run_id,dataset,subset,model,seed,output_mode,protocol_version,status,run_path,notes
unified_v1__fd001__lightgbm__seed23__point,C-MAPSS,FD001,lightgbm,23,point,unified_v1,completed,results/runs/unified_v1__fd001__lightgbm__seed23__point,artifact_validation_pass
unified_v1__fd001__lightgbm__seed23__quantile,C-MAPSS,FD001,lightgbm,23,quantile,unified_v1,completed,results/runs/unified_v1__fd001__lightgbm__seed23__quantile,artifact_validation_pass
unified_v1__fd001__lightgbm__seed37__point,C-MAPSS,FD001,lightgbm,37,point,unified_v1,completed,results/runs/unified_v1__fd001__lightgbm__seed37__point,artifact_validation_pass
unified_v1__fd001__lightgbm__seed37__quantile,C-MAPSS,FD001,lightgbm,37,quantile,unified_v1,completed,results/runs/unified_v1__fd001__lightgbm__seed37__quantile,artifact_validation_pass
unified_v1__fd001__lightgbm__seed53__point,C-MAPSS,FD001,lightgbm,53,point,unified_v1,completed,results/runs/unified_v1__fd001__lightgbm__seed53__point,artifact_validation_pass
unified_v1__fd001__lightgbm__seed53__quantile,C-MAPSS,FD001,lightgbm,53,quantile,unified_v1,completed,results/runs/unified_v1__fd001__lightgbm__seed53__quantile,artifact_validation_pass
unified_v1__fd001__lightgbm__seed71__point,C-MAPSS,FD001,lightgbm,71,point,unified_v1,completed,results/runs/unified_v1__fd001__lightgbm__seed71__point,artifact_validation_pass
unified_v1__fd001__lightgbm__seed71__quantile,C-MAPSS,FD001,lightgbm,71,quantile,unified_v1,completed,results/runs/unified_v1__fd001__lightgbm__seed71__quantile,artifact_validation_pass
unified_v1__fd002__lstm__seed11__point,C-MAPSS,FD002,lstm,11,point,unified_v1,completed,results/runs/unified_v1__fd002__lstm__seed11__point,artifact_validation_pass
unified_v1__fd002__lstm__seed11__quantile,C-MAPSS,FD002,lstm,11,quantile,unified_v1,completed,results/runs/unified_v1__fd002__lstm__seed11__quantile,artifact_validation_pass
unified_v1__fd002__lstm__seed23__point,C-MAPSS,FD002,lstm,23,point,unified_v1,completed,results/runs/unified_v1__fd002__lstm__seed23__point,artifact_validation_pass
unified_v1__fd002__lstm__seed23__quantile,C-MAPSS,FD002,lstm,23,quantile,unified_v1,completed,results/runs/unified_v1__fd002__lstm__seed23__quantile,artifact_validation_pass
unified_v1__fd002__lstm__seed37__point,C-MAPSS,FD002,lstm,37,point,unified_v1,completed,results/runs/unified_v1__fd002__lstm__seed37__point,artifact_validation_pass
unified_v1__fd002__lstm__seed37__quantile,C-MAPSS,FD002,lstm,37,quantile,unified_v1,completed,results/runs/unified_v1__fd002__lstm__seed37__quantile,artifact_validation_pass
unified_v1__fd002__lstm__seed53__point,C-MAPSS,FD002,lstm,53,point,unified_v1,completed,results/runs/unified_v1__fd002__lstm__seed53__point,artifact_validation_pass
unified_v1__fd002__lstm__seed53__quantile,C-MAPSS,FD002,lstm,53,quantile,unified_v1,completed,results/runs/unified_v1__fd002__lstm__seed53__quantile,artifact_validation_pass
unified_v1__fd002__lstm__seed71__point,C-MAPSS,FD002,lstm,71,point,unified_v1,completed,results/runs/unified_v1__fd002__lstm__seed71__point,artifact_validation_pass
unified_v1__fd002__lstm__seed71__quantile,C-MAPSS,FD002,lstm,71,quantile,unified_v1,completed,results/runs/unified_v1__fd002__lstm__seed71__quantile,artifact_validation_pass
unified_v1__fd002__cnn_1d__seed11__point,C-MAPSS,FD002,cnn_1d,11,point,unified_v1,completed,results/runs/unified_v1__fd002__cnn_1d__seed11__point,artifact_validation_pass
unified_v1__fd002__cnn_1d__seed11__quantile,C-MAPSS,FD002,cnn_1d,11,quantile,unified_v1,completed,results/runs/unified_v1__fd002__cnn_1d__seed11__quantile,artifact_validation_pass
unified_v1__fd002__cnn_1d__seed23__point,C-MAPSS,FD002,cnn_1d,23,point,unified_v1,completed,results/runs/unified_v1__fd002__cnn_1d__seed23__point,artifact_validation_pass
unified_v1__fd002__cnn_1d__seed23__quantile,C-MAPSS,FD002,cnn_1d,23,quantile,unified_v1,completed,results/runs/unified_v1__fd002__cnn_1d__seed23__quantile,artifact_validation_pass
unified_v1__fd002__cnn_1d__seed37__point,C-MAPSS,FD002,cnn_1d,37,point,unified_v1,completed,results/runs/unified_v1__fd002__cnn_1d__seed37__point,artifact_validation_pass
unified_v1__fd002__cnn_1d__seed37__quantile,C-MAPSS,FD002,cnn_1d,37,quantile,unified_v1,completed,results/runs/unified_v1__fd002__cnn_1d__seed37__quantile,artifact_validation_pass
unified_v1__fd002__cnn_1d__seed53__point,C-MAPSS,FD002,cnn_1d,53,point,unified_v1,completed,results/runs/unified_v1__fd002__cnn_1d__seed53__point,artifact_validation_pass
unified_v1__fd002__cnn_1d__seed53__quantile,C-MAPSS,FD002,cnn_1d,53,quantile,unified_v1,completed,results/runs/unified_v1__fd002__cnn_1d__seed53__quantile,artifact_validation_pass
unified_v1__fd002__cnn_1d__seed71__point,C-MAPSS,FD002,cnn_1d,71,point,unified_v1,completed,results/runs/unified_v1__fd002__cnn_1d__seed71__point,artifact_validation_pass
unified_v1__fd002__cnn_1d__seed71__quantile,C-MAPSS,FD002,cnn_1d,71,quantile,unified_v1,completed,results/runs/unified_v1__fd002__cnn_1d__seed71__quantile,artifact_validation_pass
unified_v1__fd002__transformer__seed11__point,C-MAPSS,FD002,transformer,11,point,unified_v1,completed,results/runs/unified_v1__fd002__transformer__seed11__point,artifact_validation_pass
unified_v1__fd002__transformer__seed11__quantile,C-MAPSS,FD002,transformer,11,quantile,unified_v1,completed,results/runs/unified_v1__fd002__transformer__seed11__quantile,artifact_validation_pass
unified_v1__fd002__transformer__seed23__point,C-MAPSS,FD002,transformer,23,point,unified_v1,completed,results/runs/unified_v1__fd002__transformer__seed23__point,artifact_validation_pass
unified_v1__fd002__transformer__seed23__quantile,C-MAPSS,FD002,transformer,23,quantile,unified_v1,completed,results/runs/unified_v1__fd002__transformer__seed23__quantile,artifact_validation_pass
unified_v1__fd002__transformer__seed37__point,C-MAPSS,FD002,transformer,37,point,unified_v1,completed,results/runs/unified_v1__fd002__transformer__seed37__point,artifact_validation_pass
unified_v1__fd002__transformer__seed37__quantile,C-MAPSS,FD002,transformer,37,quantile,unified_v1,completed,results/runs/unified_v1__fd002__transformer__seed37__quantile,artifact_validation_pass
unified_v1__fd002__transformer__seed53__point,C-MAPSS,FD002,transformer,53,point,unified_v1,completed,results/runs/unified_v1__fd002__transformer__seed53__point,artifact_validation_pass
unified_v1__fd002__transformer__seed53__quantile,C-MAPSS,FD002,transformer,53,quantile,unified_v1,completed,results/runs/unified_v1__fd002__transformer__seed53__quantile,artifact_validation_pass
unified_v1__fd002__transformer__seed71__point,C-MAPSS,FD002,transformer,71,point,unified_v1,completed,results/runs/unified_v1__fd002__transformer__seed71__point,artifact_validation_pass
unified_v1__fd002__transformer__seed71__quantile,C-MAPSS,FD002,transformer,71,quantile,unified_v1,completed,results/runs/unified_v1__fd002__transformer__seed71__quantile,artifact_validation_pass
unified_v1__fd002__lightgbm__seed11__point,C-MAPSS,FD002,lightgbm,11,point,unified_v1,completed,results/runs/unified_v1__fd002__lightgbm__seed11__point,artifact_validation_pass
unified_v1__fd002__lightgbm__seed11__quantile,C-MAPSS,FD002,lightgbm,11,quantile,unified_v1,completed,results/runs/unified_v1__fd002__lightgbm__seed11__quantile,artifact_validation_pass
unified_v1__fd002__lightgbm__seed23__point,C-MAPSS,FD002,lightgbm,23,point,unified_v1,completed,results/runs/unified_v1__fd002__lightgbm__seed23__point,artifact_validation_pass
unified_v1__fd002__lightgbm__seed23__quantile,C-MAPSS,FD002,lightgbm,23,quantile,unified_v1,completed,results/runs/unified_v1__fd002__lightgbm__seed23__quantile,artifact_validation_pass
unified_v1__fd002__lightgbm__seed37__point,C-MAPSS,FD002,lightgbm,37,point,unified_v1,completed,results/runs/unified_v1__fd002__lightgbm__seed37__point,artifact_validation_pass
unified_v1__fd002__lightgbm__seed37__quantile,C-MAPSS,FD002,lightgbm,37,quantile,unified_v1,completed,results/runs/unified_v1__fd002__lightgbm__seed37__quantile,artifact_validation_pass
unified_v1__fd002__lightgbm__seed53__point,C-MAPSS,FD002,lightgbm,53,point,unified_v1,completed,results/runs/unified_v1__fd002__lightgbm__seed53__point,artifact_validation_pass
unified_v1__fd002__lightgbm__seed53__quantile,C-MAPSS,FD002,lightgbm,53,quantile,unified_v1,completed,results/runs/unified_v1__fd002__lightgbm__seed53__quantile,artifact_validation_pass
unified_v1__fd002__lightgbm__seed71__point,C-MAPSS,FD002,lightgbm,71,point,unified_v1,completed,results/runs/unified_v1__fd002__lightgbm__seed71__point,artifact_validation_pass
unified_v1__fd002__lightgbm__seed71__quantile,C-MAPSS,FD002,lightgbm,71,quantile,unified_v1,completed,results/runs/unified_v1__fd002__lightgbm__seed71__quantile,artifact_validation_pass
unified_v1__fd003__lstm__seed11__point,C-MAPSS,FD003,lstm,11,point,unified_v1,completed,results/runs/unified_v1__fd003__lstm__seed11__point,artifact_validation_pass
unified_v1__fd003__lstm__seed11__quantile,C-MAPSS,FD003,lstm,11,quantile,unified_v1,completed,results/runs/unified_v1__fd003__lstm__seed11__quantile,artifact_validation_pass
unified_v1__fd003__lstm__seed23__point,C-MAPSS,FD003,lstm,23,point,unified_v1,completed,results/runs/unified_v1__fd003__lstm__seed23__point,artifact_validation_pass
unified_v1__fd003__lstm__seed23__quantile,C-MAPSS,FD003,lstm,23,quantile,unified_v1,completed,results/runs/unified_v1__fd003__lstm__seed23__quantile,artifact_validation_pass
unified_v1__fd003__lstm__seed37__point,C-MAPSS,FD003,lstm,37,point,unified_v1,completed,results/runs/unified_v1__fd003__lstm__seed37__point,artifact_validation_pass
unified_v1__fd003__lstm__seed37__quantile,C-MAPSS,FD003,lstm,37,quantile,unified_v1,completed,results/runs/unified_v1__fd003__lstm__seed37__quantile,artifact_validation_pass
unified_v1__fd003__lstm__seed53__point,C-MAPSS,FD003,lstm,53,point,unified_v1,completed,results/runs/unified_v1__fd003__lstm__seed53__point,artifact_validation_pass
unified_v1__fd003__lstm__seed53__quantile,C-MAPSS,FD003,lstm,53,quantile,unified_v1,completed,results/runs/unified_v1__fd003__lstm__seed53__quantile,artifact_validation_pass
unified_v1__fd003__lstm__seed71__point,C-MAPSS,FD003,lstm,71,point,unified_v1,completed,results/runs/unified_v1__fd003__lstm__seed71__point,artifact_validation_pass
unified_v1__fd003__lstm__seed71__quantile,C-MAPSS,FD003,lstm,71,quantile,unified_v1,completed,results/runs/unified_v1__fd003__lstm__seed71__quantile,artifact_validation_pass
unified_v1__fd003__cnn_1d__seed11__point,C-MAPSS,FD003,cnn_1d,11,point,unified_v1,completed,results/runs/unified_v1__fd003__cnn_1d__seed11__point,artifact_validation_pass
unified_v1__fd003__cnn_1d__seed11__quantile,C-MAPSS,FD003,cnn_1d,11,quantile,unified_v1,completed,results/runs/unified_v1__fd003__cnn_1d__seed11__quantile,artifact_validation_pass
unified_v1__fd003__cnn_1d__seed23__point,C-MAPSS,FD003,cnn_1d,23,point,unified_v1,completed,results/runs/unified_v1__fd003__cnn_1d__seed23__point,artifact_validation_pass
unified_v1__fd003__cnn_1d__seed23__quantile,C-MAPSS,FD003,cnn_1d,23,quantile,unified_v1,completed,results/runs/unified_v1__fd003__cnn_1d__seed23__quantile,artifact_validation_pass
unified_v1__fd003__cnn_1d__seed37__point,C-MAPSS,FD003,cnn_1d,37,point,unified_v1,completed,results/runs/unified_v1__fd003__cnn_1d__seed37__point,artifact_validation_pass
unified_v1__fd003__cnn_1d__seed37__quantile,C-MAPSS,FD003,cnn_1d,37,quantile,unified_v1,completed,results/runs/unified_v1__fd003__cnn_1d__seed37__quantile,artifact_validation_pass
unified_v1__fd003__cnn_1d__seed53__point,C-MAPSS,FD003,cnn_1d,53,point,unified_v1,completed,results/runs/unified_v1__fd003__cnn_1d__seed53__point,artifact_validation_pass
unified_v1__fd003__cnn_1d__seed53__quantile,C-MAPSS,FD003,cnn_1d,53,quantile,unified_v1,completed,results/runs/unified_v1__fd003__cnn_1d__seed53__quantile,artifact_validation_pass
unified_v1__fd003__cnn_1d__seed71__point,C-MAPSS,FD003,cnn_1d,71,point,unified_v1,completed,results/runs/unified_v1__fd003__cnn_1d__seed71__point,artifact_validation_pass
unified_v1__fd003__cnn_1d__seed71__quantile,C-MAPSS,FD003,cnn_1d,71,quantile,unified_v1,completed,results/runs/unified_v1__fd003__cnn_1d__seed71__quantile,artifact_validation_pass
unified_v1__fd003__transformer__seed11__point,C-MAPSS,FD003,transformer,11,point,unified_v1,completed,results/runs/unified_v1__fd003__transformer__seed11__point,artifact_validation_pass
unified_v1__fd003__transformer__seed11__quantile,C-MAPSS,FD003,transformer,11,quantile,unified_v1,completed,results/runs/unified_v1__fd003__transformer__seed11__quantile,artifact_validation_pass
unified_v1__fd003__transformer__seed23__point,C-MAPSS,FD003,transformer,23,point,unified_v1,completed,results/runs/unified_v1__fd003__transformer__seed23__point,artifact_validation_pass
unified_v1__fd003__transformer__seed23__quantile,C-MAPSS,FD003,transformer,23,quantile,unified_v1,completed,results/runs/unified_v1__fd003__transformer__seed23__quantile,artifact_validation_pass
unified_v1__fd003__transformer__seed37__point,C-MAPSS,FD003,transformer,37,point,unified_v1,completed,results/runs/unified_v1__fd003__transformer__seed37__point,artifact_validation_pass
unified_v1__fd003__transformer__seed37__quantile,C-MAPSS,FD003,transformer,37,quantile,unified_v1,completed,results/runs/unified_v1__fd003__transformer__seed37__quantile,artifact_validation_pass
unified_v1__fd003__transformer__seed53__point,C-MAPSS,FD003,transformer,53,point,unified_v1,completed,results/runs/unified_v1__fd003__transformer__seed53__point,artifact_validation_pass
unified_v1__fd003__transformer__seed53__quantile,C-MAPSS,FD003,transformer,53,quantile,unified_v1,completed,results/runs/unified_v1__fd003__transformer__seed53__quantile,artifact_validation_pass
unified_v1__fd003__transformer__seed71__point,C-MAPSS,FD003,transformer,71,point,unified_v1,completed,results/runs/unified_v1__fd003__transformer__seed71__point,artifact_validation_pass
unified_v1__fd003__transformer__seed71__quantile,C-MAPSS,FD003,transformer,71,quantile,unified_v1,completed,results/runs/unified_v1__fd003__transformer__seed71__quantile,artifact_validation_pass
unified_v1__fd003__lightgbm__seed11__point,C-MAPSS,FD003,lightgbm,11,point,unified_v1,completed,results/runs/unified_v1__fd003__lightgbm__seed11__point,artifact_validation_pass
unified_v1__fd003__lightgbm__seed11__quantile,C-MAPSS,FD003,lightgbm,11,quantile,unified_v1,completed,results/runs/unified_v1__fd003__lightgbm__seed11__quantile,artifact_validation_pass
unified_v1__fd003__lightgbm__seed23__point,C-MAPSS,FD003,lightgbm,23,point,unified_v1,completed,results/runs/unified_v1__fd003__lightgbm__seed23__point,artifact_validation_pass
unified_v1__fd003__lightgbm__seed23__quantile,C-MAPSS,FD003,lightgbm,23,quantile,unified_v1,completed,results/runs/unified_v1__fd003__lightgbm__seed23__quantile,artifact_validation_pass
unified_v1__fd003__lightgbm__seed37__point,C-MAPSS,FD003,lightgbm,37,point,unified_v1,completed,results/runs/unified_v1__fd003__lightgbm__seed37__point,artifact_validation_pass
unified_v1__fd003__lightgbm__seed37__quantile,C-MAPSS,FD003,lightgbm,37,quantile,unified_v1,completed,results/runs/unified_v1__fd003__lightgbm__seed37__quantile,artifact_validation_pass
unified_v1__fd003__lightgbm__seed53__point,C-MAPSS,FD003,lightgbm,53,point,unified_v1,completed,results/runs/unified_v1__fd003__lightgbm__seed53__point,artifact_validation_pass
unified_v1__fd003__lightgbm__seed53__quantile,C-MAPSS,FD003,lightgbm,53,quantile,unified_v1,completed,results/runs/unified_v1__fd003__lightgbm__seed53__quantile,artifact_validation_pass
unified_v1__fd003__lightgbm__seed71__point,C-MAPSS,FD003,lightgbm,71,point,unified_v1,completed,results/runs/unified_v1__fd003__lightgbm__seed71__point,artifact_validation_pass
unified_v1__fd003__lightgbm__seed71__quantile,C-MAPSS,FD003,lightgbm,71,quantile,unified_v1,completed,results/runs/unified_v1__fd003__lightgbm__seed71__quantile,artifact_validation_pass
unified_v1__fd004__lstm__seed11__point,C-MAPSS,FD004,lstm,11,point,unified_v1,completed,results/runs/unified_v1__fd004__lstm__seed11__point,artifact_validation_pass
unified_v1__fd004__lstm__seed11__quantile,C-MAPSS,FD004,lstm,11,quantile,unified_v1,completed,results/runs/unified_v1__fd004__lstm__seed11__quantile,artifact_validation_pass
unified_v1__fd004__lstm__seed23__point,C-MAPSS,FD004,lstm,23,point,unified_v1,completed,results/runs/unified_v1__fd004__lstm__seed23__point,artifact_validation_pass
unified_v1__fd004__lstm__seed23__quantile,C-MAPSS,FD004,lstm,23,quantile,unified_v1,completed,results/runs/unified_v1__fd004__lstm__seed23__quantile,artifact_validation_pass
unified_v1__fd004__lstm__seed37__point,C-MAPSS,FD004,lstm,37,point,unified_v1,completed,results/runs/unified_v1__fd004__lstm__seed37__point,artifact_validation_pass
unified_v1__fd004__lstm__seed37__quantile,C-MAPSS,FD004,lstm,37,quantile,unified_v1,completed,results/runs/unified_v1__fd004__lstm__seed37__quantile,artifact_validation_pass
unified_v1__fd004__lstm__seed53__point,C-MAPSS,FD004,lstm,53,point,unified_v1,completed,results/runs/unified_v1__fd004__lstm__seed53__point,artifact_validation_pass
unified_v1__fd004__lstm__seed53__quantile,C-MAPSS,FD004,lstm,53,quantile,unified_v1,completed,results/runs/unified_v1__fd004__lstm__seed53__quantile,artifact_validation_pass
unified_v1__fd004__lstm__seed71__point,C-MAPSS,FD004,lstm,71,point,unified_v1,completed,results/runs/unified_v1__fd004__lstm__seed71__point,artifact_validation_pass
unified_v1__fd004__lstm__seed71__quantile,C-MAPSS,FD004,lstm,71,quantile,unified_v1,completed,results/runs/unified_v1__fd004__lstm__seed71__quantile,artifact_validation_pass
unified_v1__fd004__cnn_1d__seed11__point,C-MAPSS,FD004,cnn_1d,11,point,unified_v1,completed,results/runs/unified_v1__fd004__cnn_1d__seed11__point,artifact_validation_pass
unified_v1__fd004__cnn_1d__seed11__quantile,C-MAPSS,FD004,cnn_1d,11,quantile,unified_v1,completed,results/runs/unified_v1__fd004__cnn_1d__seed11__quantile,artifact_validation_pass
unified_v1__fd004__cnn_1d__seed23__point,C-MAPSS,FD004,cnn_1d,23,point,unified_v1,completed,results/runs/unified_v1__fd004__cnn_1d__seed23__point,artifact_validation_pass
unified_v1__fd004__cnn_1d__seed23__quantile,C-MAPSS,FD004,cnn_1d,23,quantile,unified_v1,completed,results/runs/unified_v1__fd004__cnn_1d__seed23__quantile,artifact_validation_pass
unified_v1__fd004__cnn_1d__seed37__point,C-MAPSS,FD004,cnn_1d,37,point,unified_v1,completed,results/runs/unified_v1__fd004__cnn_1d__seed37__point,artifact_validation_pass
unified_v1__fd004__cnn_1d__seed37__quantile,C-MAPSS,FD004,cnn_1d,37,quantile,unified_v1,completed,results/runs/unified_v1__fd004__cnn_1d__seed37__quantile,artifact_validation_pass
unified_v1__fd004__cnn_1d__seed53__point,C-MAPSS,FD004,cnn_1d,53,point,unified_v1,completed,results/runs/unified_v1__fd004__cnn_1d__seed53__point,artifact_validation_pass
unified_v1__fd004__cnn_1d__seed53__quantile,C-MAPSS,FD004,cnn_1d,53,quantile,unified_v1,completed,results/runs/unified_v1__fd004__cnn_1d__seed53__quantile,artifact_validation_pass
unified_v1__fd004__cnn_1d__seed71__point,C-MAPSS,FD004,cnn_1d,71,point,unified_v1,completed,results/runs/unified_v1__fd004__cnn_1d__seed71__point,artifact_validation_pass
unified_v1__fd004__cnn_1d__seed71__quantile,C-MAPSS,FD004,cnn_1d,71,quantile,unified_v1,completed,results/runs/unified_v1__fd004__cnn_1d__seed71__quantile,artifact_validation_pass
unified_v1__fd004__transformer__seed11__point,C-MAPSS,FD004,transformer,11,point,unified_v1,completed,results/runs/unified_v1__fd004__transformer__seed11__point,artifact_validation_pass
unified_v1__fd004__transformer__seed11__quantile,C-MAPSS,FD004,transformer,11,quantile,unified_v1,completed,results/runs/unified_v1__fd004__transformer__seed11__quantile,artifact_validation_pass
unified_v1__fd004__transformer__seed23__point,C-MAPSS,FD004,transformer,23,point,unified_v1,completed,results/runs/unified_v1__fd004__transformer__seed23__point,artifact_validation_pass
unified_v1__fd004__transformer__seed23__quantile,C-MAPSS,FD004,transformer,23,quantile,unified_v1,completed,results/runs/unified_v1__fd004__transformer__seed23__quantile,artifact_validation_pass
unified_v1__fd004__transformer__seed37__point,C-MAPSS,FD004,transformer,37,point,unified_v1,completed,results/runs/unified_v1__fd004__transformer__seed37__point,artifact_validation_pass
unified_v1__fd004__transformer__seed37__quantile,C-MAPSS,FD004,transformer,37,quantile,unified_v1,completed,results/runs/unified_v1__fd004__transformer__seed37__quantile,artifact_validation_pass
unified_v1__fd004__transformer__seed53__point,C-MAPSS,FD004,transformer,53,point,unified_v1,completed,results/runs/unified_v1__fd004__transformer__seed53__point,artifact_validation_pass
unified_v1__fd004__transformer__seed53__quantile,C-MAPSS,FD004,transformer,53,quantile,unified_v1,completed,results/runs/unified_v1__fd004__transformer__seed53__quantile,artifact_validation_pass
unified_v1__fd004__transformer__seed71__point,C-MAPSS,FD004,transformer,71,point,unified_v1,completed,results/runs/unified_v1__fd004__transformer__seed71__point,artifact_validation_pass
unified_v1__fd004__transformer__seed71__quantile,C-MAPSS,FD004,transformer,71,quantile,unified_v1,completed,results/runs/unified_v1__fd004__transformer__seed71__quantile,artifact_validation_pass
unified_v1__fd004__lightgbm__seed11__point,C-MAPSS,FD004,lightgbm,11,point,unified_v1,completed,results/runs/unified_v1__fd004__lightgbm__seed11__point,artifact_validation_pass
unified_v1__fd004__lightgbm__seed11__quantile,C-MAPSS,FD004,lightgbm,11,quantile,unified_v1,completed,results/runs/unified_v1__fd004__lightgbm__seed11__quantile,artifact_validation_pass
unified_v1__fd004__lightgbm__seed23__point,C-MAPSS,FD004,lightgbm,23,point,unified_v1,completed,results/runs/unified_v1__fd004__lightgbm__seed23__point,artifact_validation_pass
