paper_id,title,year,venue,doi,source_url,dataset_subsets,label_type,rul_cap,sensor_set,sensor_selection_rule,window_length,window_stride,normalization_method,normalization_fit_scope,test_window_policy,metrics,seeds,repetitions,variance_reported,code_available,notes,verification_status
C12,"A Statistical Analysis of the State-of-the-Art Transformer-Based Remaining Useful Life Models on C-MAPSS FD001",2026,"DATA 2026",10.5220/0015076000004091,https://www.scitepress.org/Papers/2026/150760/150760.pdf,"C-MAPSS FD001","piecewise-linear RUL with cap 125; reproduction preserves AGATT input construction",125,"14 informative sensors after removal of constant channels","constant channels removed; sensor identifiers NR",30,NR,"original AGATT preprocessing described as preserved; exact normalization NR",NR,"fixed official FD001 train-test structure; explicit fixed validation when available otherwise 20% of training data; split unit NR","RMSE final; NASA Score used as training loss and monitored metric","1001-1030",30,"mean +/- SD; 95% CI; best run; standardized z comparison","public GitHub repository stated; URL NR in PDF text","reproduction changes the original AGATT objective from RMSE loss to asymmetric NASA score loss; nominal data split fixed across seeds",full_text_verified_pdf_pass
C24,"Damage propagation modeling for aircraft engine run-to-failure simulation",2008,"International Conference on Prognostics and Health Management",10.1109/phm.2008.4711414,https://ntrs.nasa.gov/citations/20090029214,"PHM 2008 C-MAPSS challenge data","true RUL derived from simulated failure threshold; test and validation trajectories pruned before failure",NR,"operational variables and simulated engine sensor outputs","dataset-generation paper; no model sensor-selection rule",NR,NR,"dataset paper does not prescribe model normalization",NR,"training trajectories end at failure; test and validation trajectories are truncated; validation withheld until competition close","PHM08 asymmetric exponential score; error and correlation discussed",NR,NR,"dataset/competition design; no repeated model-run protocol",NR,"C-MAPSS origin anchor; not counted as a model-paper protocol cell",full_text_verified_pdf_pass
C25,"The Elephant in the Room: Towards A Reliable Time-Series Anomaly Detection Benchmark",2024,"NeurIPS Datasets and Benchmarks Track",10.52202/079017-3437,https://proceedings.neurips.cc/paper_files/paper/2024/hash/c3f3c690b7a99fba16d0efd35cb83b2c-Abstract-Datasets_and_Benchmarks_Track.html,"TSB-AD-U/M; 40 datasets; 1070 curated time series","anomaly labels; not an RUL study",NR,"heterogeneous univariate and multivariate time series","three-stage dataset curation using human perception and algorithmic tests",NR,NR,"z-normalization for benchmark comparison",NR,"15% of time series from each dataset allocated to hyperparameter tuning; remainder used for evaluation","10 anomaly measures assessed; VUS-PR selected; Friedman and post-hoc Nemenyi tests",NR,NR,"cross-dataset statistical comparison; seed policy NR","https://github.com/TheDatumOrg/TSB-AD","adjacent-domain benchmark-audit anchor; not counted as a C-MAPSS model-paper protocol cell",full_text_verified_pdf_pass
C18,"Domain adaptation via alignment of operation profile for Remaining Useful Lifetime prediction",2024,"Reliability Engineering & System Safety",10.1016/j.ress.2023.109718,https://arxiv.org/pdf/2302.01704,"N-CMAPSS DS03; short/medium/long flight domains; S-to-L, S-to-M, M-to-L","fault-onset RUL normalized per unit from 1 to 0; unsupervised target labels withheld",NR,"18 sensor/scenario values; virtual sensors and model health parameters excluded","18 values retained after excluding simulator-only virtual sensors and health parameters",50,1,"Chebyshev order-8 downsample factor 10 to 0.1 Hz; min-max scaling to [-1,1]","scaler fit on source domain for each task; applied to target","all source and target domain data participate in training; no test-training split; target labels not used","RMSE; NASA score; Proxy A-distance (PAD)",NR,NR,"Table 3 reports mean +/- std; repetition count and seed values NR","NR","Formal issue year 2024; transductive UDA protocol: 3 domains x 5 units; source/target domain data are used jointly without an independent test-training split; N-CMAPSS migration anchor",full_text_verified_pdf_pass
C19,"Exploratory Data Analysis of the N-CMAPSS Dataset for Prognostics",2021,"IEEE IEEM",10.1109/ieem50564.2021.9673064,https://nva.sikt.no/registration/0198cc91745e-0039c52b-817b-4507-addb-bf2a9b4221f7,"N-CMAPSS DS03; 15 units; 3 flight classes","RUL supplied in dev/test files; EDA anchor, not a model label protocol",NR,"47 raw features; 21 independent variables plus RUL after EDA consolidation; flight-class variables retained","dataset EDA; no unified model sensor-selection rule",NR,NR,"paper recommends scaling such as min-max; no executed model normalization protocol",NR,"official development/test split is preserved for one analysis and dev+test are also combined for EDA; no model test-window policy","EDA correlations, distributions, clustering and data-quality observations; no model benchmark metric",NR,NR,"not a model evaluation; no repetitions or seed policy","NR","Dataset-support anchor: 9.8 million rows, 47 raw features, 15 units and three flight classes; reports repeated RUL values and RUL/health-status inconsistencies",dataset_anchor_coded
C16,"Multi-Resolution LSTM-Based Prediction Model for Remaining Useful Life of Aero-Engine",2024,"IEEE Transactions on Vehicular Technology",10.1109/tvt.2023.3319377,http://mosaic-lab.org/uploads/papers/578d1a29-0c66-4bc3-ab6f-fc0db7f6fd5a.pdf,"C-MAPSS FD002/FD004; N-CMAPSS DS01-DS07","piecewise-linear RUL; cap 125 for C-MAPSS and cap 65 for N-CMAPSS",125,"C-MAPSS 14 sensors: 2,3,4,7,8,9,11,12,13,14,15,17,20,21; N-CMAPSS excludes nine zero-valued model-health variables","remove C-MAPSS sensors 1,5,6,10,16,18,19 as stable/constant; remove zero-valued N-CMAPSS variables","grid 30/60/90; setup reports optimum 60 but results state FD002=70 and FD004=90",NR,"min-max normalization to [-1,1] after smoothing","fit scope NR","official C-MAPSS train/test used; test-window aggregation NR; N-CMAPSS uses 70/30 train/test per subset with allocation unit NR","RMSE; PHM08/NASA Score",NR,10,"mean over 10 replicate experiments; no SD/CI reported",NR,"Formal issue year 2024 after 2023 online-first publication; window reporting conflicts between setup and results; C-MAPSS comparison values for other methods are taken from references; N-CMAPSS 70/30 split does not state unit-level isolation",full_text_verified_pdf_pass
C02,"Remaining useful life estimation via transformer encoder enhanced by a gated convolutional unit",2021,"Journal of Intelligent Manufacturing",10.1007/s10845-021-01750-x,https://doi.org/10.1007/s10845-021-01750-x,"C-MAPSS FD001; FD002; FD003; FD004","piecewise-linear RUL capped at 125; RUL labels additionally min-max scaled",125,"14 selected sensors; sensor identifiers NR","monotonicity and correlation selection with alpha=0.5 and gamma=0.2; statistics described over the whole subset rather than a declared training-only partition",NR,NR,"sensor min-max normalization to [0,1]; RUL min-max normalization","formula and selection wording use the whole subset; train-only fitting cannot be confirmed","one RUL prediction at the final observed record of each official test engine","RMSE",NR,NR,"no SD/CI or repeated-run distribution","no paper-specific repository; PyTorch 1.3.11 implementation based on Harvard Annotated Transformer","Model input sequence length and stride are not reported; convolution kernel size 3 is a GCU kernel and must not be treated as the sample window; validation construction is NR; hyperparameters are described as empirical",full_text_verified_pdf_pass
C03,"Remaining useful life prediction of aero-engine enabled by fusing knowledge and deep learning models",2023,"Reliability Engineering & System Safety",10.1016/j.ress.2022.108869,https://doi.org/10.1016/j.ress.2022.108869,"C-MAPSS FD001; FD002; FD003; FD004","piecewise-linear RUL; early-life plateau explicitly set to 125",125,"all 21 sensors grouped by physical knowledge into 9 sensor maps; three operating settings are not model inputs","knowledge flow charts and sensor relationships determine the nine maps; no sensor is discarded",40,NR,"min-max normalization","fit scope NR","official test set: one endpoint RUL prediction per engine; nine FD002 engines are additionally plotted over reconstructed complete-life trajectories","RMSE; PHM08/NASA Score",NR,10,"mean and standard deviation of evaluation indicators over 10 runs are shown in Fig. 11","no repository located","Five percent of training samples are randomly selected for validation; allocation by engine versus window and the random seed are NR; early stopping uses 20 validation-loss epochs without improvement; formal issue year 2023 after 2022 online-first publication",full_text_verified_pdf_pass
C04,"Dynamic predictive maintenance strategy for system remaining useful life prediction via deep learning ensemble method",2024,"Reliability Engineering & System Safety",10.1016/j.ress.2024.110012,https://doi.org/10.1016/j.ress.2024.110012,"C-MAPSS FD001; separate PHM08 experiment","segmented linear RUL with elbow/cap 130",130,"14 sensors: 2,3,4,7,8,9,11,12,13,14,15,17,20,21","remove sensors 1,5,6,10,16,18,19 as uninformative","30 is reported only in the phrase sliding time window step is set to 30; whether it denotes length is ambiguous","30 is reported only in the phrase sliding time window step is set to 30; whether it denotes stride is ambiguous","mean/variance normalization","fit scope NR","official FD001 test set with one endpoint prediction per 100 test engines; separate predictive-maintenance study splits complete FD001 training units 1-80/81-100","RMSE; PHM08/NASA Score; maintenance cost indicators",NR,"10 model iterations for the official FD001 comparison; 100 experiments for the separate maintenance strategy","best and mean over 10 iterations reported without SD/CI; maintenance experiment reports 100-experiment averages","no repository located","A validation dataset is repeatedly used for tuning but its construction is NR; Table 3 emphasizes best-of-10 RMSE=13.22 and Score=232.24 while means are 13.77 and 269.88; the official test protocol and the separate maintenance split must not be conflated",full_text_verified_pdf_pass
C06,"Sensor-aware CapsNet: Towards trustworthy multisensory fusion for remaining useful life prediction",2024,"Journal of Manufacturing Systems",10.1016/j.jmsy.2023.11.009,https://doi.org/10.1016/j.jmsy.2023.11.009,"C-MAPSS FD001; FD002; FD003; FD004","piecewise-linear RUL; cap NR; RUL additionally min-max normalized",NR,"14 sensors; operating settings are absent from the reported (30,14,1) input","remove sensors whose variance on training data is below 1e-6",30,NR,"sensor min-max normalization to [-1,1]; RUL min-max normalization","sensor bounds fitted on training data and applied unchanged to test data","one prediction at the final record of each official test engine","RMSE; PHM08/NASA Score; uncertainty calibration score (UCS)",NR,NR,"68% confidence interval reported; independent run count and seed dispersion NR","no repository located","The paper evaluates test datasets at every training epoch to plot UCS/RMSE and compares dropout 0.5/0.7/0.9 using test metrics; this creates test-monitoring and selection risk. Training augmentation uses Gaussian noise, random scaling and random amplification",full_text_verified_pdf_pass
C07,"An attention-based temporal convolutional network method for predicting remaining useful life of aero-engine",2024,"Engineering Applications of Artificial Intelligence",10.1016/j.engappai.2023.107241,https://doi.org/10.1016/j.engappai.2023.107241,"C-MAPSS FD001; FD002; FD003; FD004","piecewise-linear RUL capped at 125",125,"14 sensors: 2,3,4,7,8,9,11,12,13,14,15,17,20,21","moving-average inspection of FD001 training trajectories; constant sensors discarded","FD001=31; FD002=30; FD003=45; FD004=50","1 inferred exactly from Table 3 sample counts; the text names step l but does not print its numeric value","min-max normalization to [0,1]","fit scope NR; formula uses each sensor's extrema and does not state train-only fitting","all overlapping windows from official test trajectories are evaluated (10096/26511/12207/29436 test samples); the last window is used only for a visualization example","RMSE; PHM08/NASA Score",NR,10,"mean RMSE and Score over 10 trials; no SD/CI reported","no repository located","No validation split or grid-search selection set is reported; hyperparameters are chosen by grid search. Testing all overlapping windows differs from the standard one-endpoint-per-engine policy and changes the metric denominator",full_text_verified_pdf_pass
C08,"Bi-LSTM-Based Two-Stream Network for Machine Remaining Useful Life Prediction",2022,"IEEE Transactions on Instrumentation and Measurement",10.1109/tim.2022.3167778,https://personal.ntu.edu.sg/xlli/publication/mov_rul.pdf,"C-MAPSS FD001; FD002; FD003; FD004","piecewise-linear RUL capped at 125",125,"14 sensors plus 3 operating settings","standard informative-sensor subset; constant sensors removed",30,NR,"min-max normalization","fit scope NR","official test endpoints; one prediction per engine; trajectories shorter than 30 are front-padded with their first value","RMSE; PHM08/NASA Score",NR,NR,"no SD/CI or independent repeated-run distribution","https://github.com/ruibing-jin/Bi_LSTM_TS","Training data are divided into five folds and four folds are used at each epoch; fold rotation, held-out-fold purpose, and engine-versus-window allocation are not specified; normalization fit scope and seed are NR",full_text_verified_pdf_pass
C09,"Global attention mechanism based deep learning for remaining useful life prediction of aero-engine",2023,Measurement,10.1016/j.measurement.2023.113098,https://doi.org/10.1016/j.measurement.2023.113098,"C-MAPSS FD001; FD002; FD003; FD004","piecewise-linear RUL capped at 125",125,"14 sensors: 2,3,4,7,8,9,11,12,13,14,15,17,20,21","seven constant sensors removed to keep a common subset across all four datasets","FD001=31; FD002=30; FD003=60; FD004=50",1,"min-max normalization","formula uses extrema of all data points for a sensor; train-only fitting is not stated","one testing sample per official test engine (100/259/100/248), consistent with final-window endpoint evaluation","RMSE; PHM08/NASA Score",NR,NR,"no SD/CI or repeated-run distribution","no repository located","Reported training-sample counts are incompatible with the stated window lengths and standard subset trajectory totals. Reduction ratio r=2 is selected by comparing test RMSE/Score across r values, an explicit test-set tuning risk; no validation split is reported",full_text_verified_pdf_pass
C10,"Remaining Useful Life Prediction on C-MAPSS Dataset via Joint Autoencoder-Regression Architecture",2022,"30th Signal Processing and Communications Applications Conference (SIU)",10.1109/siu55565.2022.9864796,https://ieeexplore.ieee.org/document/9864796,"C-MAPSS FD001","linear RUL and piecewise-linear caps 120/125/130 compared; headline model uses PwL120",120,"16 sensors (2-9,11-15,17,20,21) plus 3 operating settings","literature-based removal of five sensors not considered useful","optimized as a genetic-algorithm gene; selected value NR",NR,"feature scaling; transform type NR","scaler fitted on training data and applied to test data","official FD001 test set; final-window or engine aggregation NR","RMSE; PHM08/NASA Score",NR,"300 genetic-algorithm candidate trainings followed by top-50 refinement stages; not independent repeated trials","no run-level SD/CI; Gaussian noise variance is a regularization setting rather than result variance","no repository; Python, Scikit-learn and Keras are named","No validation split or fitness-data boundary is reported. The best result is selected from 300 models, then the top 50 are refined with two noise levels and pruning and the best is again reported, creating severe best-of-search/test-reuse risk. Local IEEE PDF is user-entitled and redistribution-restricted",full_text_verified_pdf_pass
C17,"Bayesian gated-transformer model for risk-aware prediction of aero-engine remaining useful life",2024,"Expert Systems with Applications",10.1016/j.eswa.2023.121859,https://doi.org/10.1016/j.eswa.2023.121859,"C-MAPSS FD001-FD004; N-CMAPSS DS01-DS07, DS08a and DS08c; DS08d excluded as unreadable","piecewise-linear RUL; cap 125 for C-MAPSS and cap 65 for N-CMAPSS","C-MAPSS=125; N-CMAPSS=65","C-MAPSS 14 sensors + 3 operating parameters; N-CMAPSS 14 observed variables + 4 operating variables after per-cycle three-phase averaging","C-MAPSS removes sensors 1,5,6,10,16,18,19; N-CMAPSS excludes virtual sensors and health parameters","C-MAPSS=75; N-CMAPSS=30",1,"min-max normalization","fit scope NR","metrics are evaluated on corresponding test datasets; CMAPSS final-window/engine aggregation is NR; N-CMAPSS uses generated test samples and the paper notes Score depends on sample count","RMSE; PHM08/NASA Score; PICP; PINAW; CWC; NLL; 95% prediction intervals",NR,NR,"MC-dropout prediction intervals are reported, but no independent training-run dispersion; MC sample count T is NR","no repository located","No validation-set construction, seed, or preprocessing fit scope is reported. N-CMAPSS records within each cycle are divided into acceleration/uniform/deceleration phases and averaged; DS08d is omitted because it could not be opened",full_text_verified_pdf_pass
